Col,Row,Count
0,0,86
1,0,200
2,0,64
3,0,0
4,0,0
5,0,38
6,0,0
7,0,0
8,0,1
9,0,0
10,0,0
11,0,28
12,0,84
13,0,5
14,0,200
15,0,0
16,0,0
17,0,26
18,0,12
19,0,5
20,0,1
21,0,12
22,0,1
23,0,30
24,0,200
25,0,200
26,0,1
27,0,0
28,0,119
29,0,32
30,0,1
31,0,0
32,0,0
33,0,0
34,0,0
0,1,200
1,1,0
2,1,0
3,1,29
4,1,200
5,1,111
6,1,6
7,1,34
8,1,98
9,1,200
10,1,153
11,1,200
12,1,120
13,1,0
14,1,200
15,1,5
16,1,32
17,1,200
18,1,53
19,1,16
20,1,0
21,1,0
22,1,120
23,1,0
24,1,63
25,1,200
26,1,0
27,1,200
28,1,0
29,1,200
30,1,31
31,1,80
32,1,4
33,1,5
34,1,22
0,2,200
1,2,108
2,2,102
3,2,0
4,2,0
5,2,44
6,2,200
7,2,100
8,2,0
9,2,200
10,2,6
11,2,200
12,2,3
13,2,200
14,2,200
15,2,0
16,2,200
17,2,0
18,2,200
19,2,200
20,2,142
21,2,105
22,2,0
23,2,0
24,2,0
25,2,200
26,2,200
27,2,31
28,2,0
29,2,200
30,2,2
31,2,200
32,2,55
33,2,3
34,2,0
0,3,108
1,3,0
2,3,77
3,3,200
4,3,200
5,3,37
6,3,200
7,3,184
8,3,9
9,3,200
10,3,0
11,3,200
12,3,200
13,3,3
14,3,100
15,3,1
16,3,200
17,3,0
18,3,107
19,3,14
20,3,73
21,3,200
22,3,0
23,3,1
24,3,30
25,3,0
26,3,200
27,3,144
28,3,131
29,3,19
30,3,35
31,3,172
32,3,200
33,3,9
34,3,41
0,4,102
1,4,71
2,4,200
3,4,0
4,4,184
5,4,200
6,4,0
7,4,100
8,4,200
9,4,0
10,4,200
11,4,59
12,4,149
13,4,0
14,4,200
15,4,200
16,4,53
17,4,15
18,4,200
19,4,200
20,4,50
21,4,200
22,4,1
23,4,19
24,4,1
25,4,7
26,4,22
27,4,70
28,4,37
29,4,8
30,4,38
31,4,71
32,4,10
33,4,0
34,4,22
0,5,0
1,5,200
2,5,51
3,5,91
4,5,0
5,5,200
6,5,0
7,5,34
8,5,0
9,5,50
10,5,200
11,5,0
12,5,200
13,5,200
14,5,200
15,5,7
16,5,0
17,5,0
18,5,160
19,5,0
20,5,200
21,5,0
22,5,0
23,5,0
24,5,0
25,5,1
26,5,200
27,5,29
28,5,0
29,5,200
30,5,0
31,5,26
32,5,200
33,5,0
34,5,200
0,6,104
1,6,0
2,6,3
3,6,200
4,6,67
5,6,200
6,6,107
7,6,0
8,6,0
9,6,200
10,6,200
11,6,0
12,6,3
13,6,0
14,6,137
15,6,0
16,6,1
17,6,7
18,6,136
19,6,0
20,6,6
21,6,90
22,6,123
23,6,21
24,6,200
25,6,0
26,6,64
27,6,3
28,6,0
29,6,1
30,6,1
31,6,6
32,6,5
33,6,1
34,6,0
0,7,56
1,7,200
2,7,16
3,7,60
4,7,65
5,7,0
6,7,4
7,7,12
8,7,0
9,7,200
10,7,200
11,7,0
12,7,9
13,7,138
14,7,200
15,7,86
16,7,28
17,7,10
18,7,200
19,7,3
20,7,200
21,7,2
22,7,126
23,7,9
24,7,5
25,7,64
26,7,64
27,7,142
28,7,0
29,7,200
30,7,4
31,7,6
32,7,183
33,7,200
34,7,101
0,8,6
1,8,200
2,8,120
3,8,21
4,8,54
5,8,10
6,8,200
7,8,19
8,8,200
9,8,132
10,8,200
11,8,8
12,8,176
13,8,200
14,8,122
15,8,200
16,8,200
17,8,147
18,8,0
19,8,5
20,8,39
21,8,30
22,8,40
23,8,0
24,8,200
25,8,26
26,8,200
27,8,200
28,8,1
29,8,200
30,8,48
31,8,23
32,8,0
33,8,0
34,8,200
0,9,0
1,9,3
2,9,192
3,9,200
4,9,200
5,9,0
6,9,95
7,9,70
8,9,7
9,9,0
10,9,20
11,9,200
12,9,56
13,9,0
14,9,0
15,9,118
16,9,200
17,9,33
18,9,0
19,9,0
20,9,0
21,9,8
22,9,0
23,9,2
24,9,59
25,9,0
26,9,87
27,9,200
28,9,5
29,9,4
30,9,0
31,9,0
32,9,55
33,9,200
34,9,0
0,10,7
1,10,200
2,10,0
3,10,117
4,10,7
5,10,0
6,10,49
7,10,0
8,10,0
9,10,1
10,10,4
11,10,200
12,10,0
13,10,0
14,10,0
15,10,66
16,10,200
17,10,50
18,10,0
19,10,1
20,10,0
21,10,0
22,10,200
23,10,0
24,10,0
25,10,0
26,10,0
27,10,0
28,10,0
29,10,0
30,10,200
31,10,200
32,10,0
33,10,6
34,10,165
0,11,32
1,11,103
2,11,82
3,11,0
4,11,200
5,11,0
6,11,4
7,11,200
8,11,22
9,11,200
10,11,1
11,11,0
12,11,200
13,11,9
14,11,0
15,11,0
16,11,44
17,11,200
18,11,0
19,11,0
20,11,0
21,11,200
22,11,200
23,11,0
24,11,0
25,11,0
26,11,28
27,11,0
28,11,0
29,11,0
30,11,0
31,11,8
32,11,0
33,11,0
34,11,200
0,12,9
1,12,0
2,12,0
3,12,200
4,12,0
5,12,200
6,12,0
7,12,200
8,12,200
9,12,0
10,12,200
11,12,39
12,12,200
13,12,200
14,12,0
15,12,0
16,12,0
17,12,105
18,12,200
19,12,0
20,12,11
21,12,1
